iso,year,gdp_pc_ppp,population,reserves_oil,reserves_gas,reserves_coal,coc,hdi,emissions_total,log_gdp_pc_ppp
FRA,1973,22842.6736412552,53207744.0,0.00014411096357971995,3.2340637520618998,0.0,1.25,0.631,701332690.5878441,10.036385716518621
FRA,1974,23654.184552224,53592235.0,0.00014411096357971995,3.2340637520618998,0.0,1.25,0.631,684628164.3835999,10.071295314937723
FRA,1975,23279.8060327951,53931390.0,0.00014411096357971995,3.2340637520618998,0.0,1.25,0.631,643701016.2501241,10.055341569886055
FRA,1976,24164.725393945297,54220033.0,0.00014411096357971995,3.2340637520618998,0.0,1.25,0.631,685971354.8701514,10.092649220421746
FRA,1977,24888.176323505297,54467709.0,0.00014411096357971995,3.2340637520618998,0.0,1.25,0.631,670618475.5741755,10.122148123231954
FRA,1978,25772.3034620727,54691866.0,0.00014411096357971995,3.2340637520618998,0.0,1.25,0.631,687943065.738124,10.157055685063984
FRA,1979,26577.7479387082,54917110.0,0.00014411096357971995,3.2340637520618998,0.0,1.25,0.631,697102219.2955215,10.187829601014297
FRA,1980,26877.7233918364,55161510.0,0.00014411096357971995,3.2340637520618998,0.0,1.25,0.631,676094512.8618643,10.19905309580606
FRA,1981,27033.3343781136,55430278.0,0.00011472976352184065,3.065126247427444,0.0,1.25,0.631,624196030.0537245,10.204825990083245
FRA,1982,27567.079138872203,55718940.0,0.00029389861721600336,1.3823252201136635,0.0,1.25,0.631,600594479.7224027,10.224377554947774
FRA,1983,27757.289854928702,56023775.0,0.00035274585833443604,1.3646948996207415,0.0,1.25,0.631,584161124.2748778,10.23125378215055
FRA,1984,28020.4618834078,56337675.0,0.00039446573078027634,1.2173610217319046,0.0,1.25,0.631,574785256.6113484,10.2406903038168
FRA,1985,28315.8305115829,56654703.0,0.0004153258016636779,0.74972063660805,0.0,1.25,0.631,560903710.0787972,10.251176309270251
FRA,1986,28814.1742533732,56976126.0,0.0006417975916722883,0.695791777770219,0.0,1.25,0.631,549002254.6701919,10.26862270662771
FRA,1987,29383.9601235137,57302642.0,0.0006517357354790178,0.6078195138018243,0.0,1.25,0.631,538781412.9516431,10.288204230416964
FRA,1988,30604.404026941298,57627106.0,0.0005865978508822426,0.5749144508488765,0.0,1.25,0.631,535642094.65162176,10.328899200033693
FRA,1989,31761.247521532598,57940199.0,0.0005653451149606524,0.5766950161838414,0.0,1.25,0.631,549988427.4132127,10.36600219423488
FRA,1990,32524.0587570769,58235716.0,0.0005184375172521715,0.5737685787189428,0.0,1.25,0.631,541367375.8691591,10.389735363902068
FRA,1991,32683.3477080003,58559309.0,0.0005016366712275826,0.6402302868703592,0.0,1.25,0.653,565525663.1478531,10.394620982772715
FRA,1992,33041.362114409305,58851216.0,0.00046151637759597036,0.6235822349023341,0.0,1.25,0.669,553132634.7926713,10.40551545300818
FRA,1993,32691.684325619102,59106758.0,0.0004772686059627987,0.594057823303386,0.0,1.25,0.682,535421186.0307578,10.394876022576282
FRA,1994,33338.3390661985,59327200.0,0.00047549521962338517,0.5918504834207581,0.0,1.25,0.715,527484278.8095356,10.41446333701339
FRA,1995,33917.926209530895,59541904.0,0.000404772499509605,0.6096905735496803,0.0,1.25,0.728,533392344.1835682,10.431698950346139
FRA,1996,34275.6054052643,59753095.0,0.0003680125421240162,0.5089651540225657,0.0,1.25,0.737,551025987.8626233,10.442189167447808
FRA,1997,34952.5216187517,59964841.0,0.00031103475251623955,0.3225285696997011,0.0,1.25,0.742,542277658.6651583,10.461745894379826
FRA,1998,36073.636582383704,60186284.0,0.00033645420700162805,0.23759539631986581,0.0,1.39,0.747,554433674.4064381,10.493317588953744
FRA,1999,37116.4107977125,60496708.0,0.00028132344165053644,0.23824852089472368,0.0,1.39,0.755,545680353.6724085,10.521814490353208
FRA,2000,38309.4427405638,60912500.0,0.0002794031127122929,0.23662222368151034,0.0,1.37,0.743,545825850.1097171,10.553451691532095
FRA,2001,38786.0858022319,61357432.0,0.0003761602201082196,0.23352184622068278,0.0,1.37,0.7440000000000001,550563212.0580785,10.565816847949684
FRA,2002,38942.2812150806,61805266.0,0.00036023821832271524,0.18463912767562554,0.0,1.23,0.742,543316688.7728491,10.569835860032077
FRA,2003,38985.5358593536,62244880.0,0.00037923377891908616,0.23019243992437613,0.0,1.35,0.748,546144441.1785009,10.570945980919303
FRA,2004,39794.6355114869,62704901.0,0.00037644400551822154,0.22850368267067356,0.0,1.33,0.75,546319537.0034722,10.591487396044515
FRA,2005,40152.6928743383,63179356.0,0.0003686344747651826,0.20213686255364807,0.0,1.37,0.769,546942017.3564731,10.600444787470458
FRA,2006,40850.3555437969,63621376.0,0.0003958359944947426,0.1682414162183477,0.0,1.46,0.774,535797950.36487335,10.617670803892791
FRA,2007,41582.7997168242,64016227.0,0.00030175145141602967,0.1508372056978616,0.0,1.46,0.775,531020749.3664205,10.635441892402177
FRA,2008,41456.4834259857,64374979.0,0.0002958713283189608,0.11304730056688639,0.0,1.41,0.7759999999999999,525331111.9289798,10.632399563916497
FRA,2009,40058.679756449,64707035.0,0.00025381190296994957,0.10721579191505219,0.0,1.44,0.778,506280244.9235037,10.598100652022932
FRA,2010,40638.33400426,65027505.0,0.0002473044663096454,0.10886470271310578,0.0,1.49,0.7829999999999999,516197111.6253671,10.612467087422422
FRA,2011,41329.0353691755,65342789.0,0.0002229356301604626,0.10400584523565408,0.0,1.54,0.787,494153620.5681714,10.629320567508639
FRA,2012,41258.2747345168,65659814.0,0.00021795353998883257,0.08409673533342632,0.0,1.48,0.792,497586987.79848796,10.627606971270062
FRA,2013,41282.9908062445,65998685.0,0.00020518236134395938,0.16218126770253072,0.0,1.31,0.8009999999999999,496240409.65230936,10.628205849232605
FRA,2014,41478.2469670005,66312067.0,0.00021475719274924266,0.14561495722942855,0.0,1.29,0.8109999999999999,461449262.3950009,10.63292439932408
FRA,2015,41765.2440274163,66548272.0,0.00020085990677574134,0.13360940761917905,0.0,1.29,0.812,466888960.5808448,10.639819790041757
FRA,2016,42054.5312591917,66724104.0,0.00018688229790071837,0.13113538699597976,0.0,1.37,0.809,469494845.78300464,10.646722418434807
